time,rebase_time,rebase_30_ma,rebase,standard_apy,adjusted_apy
2021-10-19 16:43,,,0.60184%,713.6911003602376,713.6911003602376
2021-10-20 00:39,7.9430555555555555,7.9430555555555555,0.53555%,346.7498758745846,354.06956008565066
2021-10-20 08:20,7.667777777777777,7.805416666666667,0.53268%,336.0929383527568,369.9149408745003
2021-10-20 16:02,7.703055555555555,7.771296296296296,0.53242%,335.1219210788226,380.6553611884744
2021-10-21 00:04,8.033333333333333,7.836805555555555,0.52875%,322.01789845802506,354.39387713193577
2021-10-21 07:30,7.436388888888889,7.756722222222222,0.52651%,314.24146615255705,364.9162001064033
2021-10-21 14:57,7.455555555555556,7.706527777777778,0.52578%,311.75093544661195,375.6361144050215
2021-10-21 22:35,7.621666666666667,7.694404761904762,0.52526%,309.97868251336547,377.9922102544598
2021-10-22 06:21,7.774444444444445,7.7044097222222225,0.52452%,307.48909039180813,373.51937022650463
2021-10-22 14:03,7.704166666666667,7.704382716049382,0.52459%,307.7265868267665,374.76621056910767
2021-10-22 22:04,8.00388888888889,7.734333333333334,0.52395%,305.6138056260801,365.2029922402363
2021-10-23 05:54,7.838611111111111,7.743813131313131,0.52434%,306.88764918363955,364.9151560113487
2021-10-23 13:44,7.8438888888888885,7.752152777777778,0.52311%,302.8215628925886,358.28786910269156
2021-10-23 21:01,7.280555555555556,7.715876068376068,0.52256%,301.0123203578533,365.6893462960429
2021-10-24 04:24,7.381944444444445,7.69202380952381,0.52185%,298.68061083524816,369.366236343176
2021-10-24 11:28,7.066666666666666,7.650333333333333,0.52255%,300.97729836080623,384.0917703305506
2021-10-24 18:57,7.480277777777777,7.639704861111111,0.52243%,300.57319514370573,386.9314289947259
2021-10-25 03:35,8.636111111111111,7.6983169934640525,0.52145%,297.3761668633177,366.9838659103353
2021-10-25 11:11,7.5938888888888885,7.692515432098765,0.52144%,297.36908462386685,368.7722872935123
2021-10-25 18:46,7.579444444444444,7.68656432748538,0.52107%,296.1703804206945,369.0540361678113
2021-10-26 02:18,7.545277777777778,7.6795,0.52146%,297.4232950745339,372.8117162608473
2021-10-26 10:11,7.877777777777778,7.688941798941799,0.52112%,296.3065504336689,368.9910089726424
2021-10-26 17:47,7.605277777777777,7.685138888888889,0.5214%,297.2194144809859,371.382820045779
2021-10-27 01:10,7.383611111111111,7.6720289855072465,0.52123%,296.67747524616556,374.4452766063133
2021-10-27 09:13,8.044166666666667,7.687534722222222,0.52125%,296.7479676623099,370.42767770159213
2021-10-27 16:50,7.621666666666667,7.6849,0.52209%,299.4602827281552,374.8144597923152
2021-10-28 00:30,7.660555555555556,7.6839636752136755,0.52314%,302.90397036517743,379.6908430712147
2021-10-28 08:50,8.330833333333333,7.707921810699588,0.5238%,305.0959493721705,375.9194988523439
2021-10-28 15:54,7.070277777777778,7.68514880952381,0.52502%,309.16749531498357,387.7547613002689
2021-10-28 23:20,7.442222222222222,7.676772030651341,0.52278%,301.71905664756946,380.5257589147598
2021-10-29 07:12,7.854444444444445,7.6826944444444445,0.52294%,302.25958238036645,382.66883349167233
2021-10-29 14:30,7.296111111111111,7.661129629629629,0.52444%,307.24057661710054,395.82734209457266
2021-10-29 21:29,6.985,7.63837037037037,0.52727%,316.85625689895977,416.1622287468253
2021-10-30 04:17,6.808055555555556,7.608537037037037,0.52856%,321.3386389815004,432.4614732636169
2021-10-30 11:17,6.999722222222222,7.574083333333333,0.52682%,315.2960717188482,435.74264882087385
2021-10-30 18:17,6.996111111111111,7.559407407407408,0.52751%,317.67659316171466,444.43776319663294
2021-10-31 01:06,6.821944444444444,7.538287037037037,0.52809%,319.683217056303,455.1259116981416
2021-10-31 08:06,6.990833333333334,7.5172592592592595,0.52807%,319.63487561860984,462.9106464267838
2021-10-31 15:15,7.157777777777778,7.496703703703703,0.52901%,322.9090273596202,475.9145575232425
2021-10-31 22:48,7.548055555555556,7.4915,0.52879%,322.15024039489924,476.75774967112955
2021-11-01 06:00,7.199722222222222,7.4646944444444445,0.52846%,320.9882163840566,485.5495522190477
2021-11-01 13:08,7.139722222222222,7.441398148148148,0.52848%,321.0567084737596,495.1568459075716
